voter,rawScore
0xb2c6b21ca0d677c157a79616d73fae840230d390,23.46
0x249cb8fe45e4c55078291947914326d585e0f606,29.09
0x5d40ed5a4bf98776938f2819d2bb89d81dbca3cd,0.0
0xee8bd6263f94d61d77d0ceb12275808826ff0ae4,14.7
0x92c4317830af63462064b9b120f9c094ba428890,21.48
0x815136b59f60165813eb2c025e12520ee3949d42,16.06
0x3417ad1d79d9508912e8d7f3b9167085500b12ce,18.45
0xcabd766a2901d5d9c8fd82e953659298f97b5cbc,16.78
0x6af309a8c3fab43be169a839c1d7ce0c39c6e446,28.57
0x1dd410550cae26e5d28560f77f8757b8ccf0e4dc,29.61
0x5a4935bdab9b1177d812a38b27973ffc9558bcc0,31.69
0x5136cdfc4d2b1a74774f5137095f82f88af5ec99,28.57
0xc41a02cec11dcd23d4d640a32fd310d633a281f9,28.78
0xd69ae6dd8ee3ae6d430570e5a79496ec98313e69,17.41
0x01fede4bb0f06ca47735be98b7a083a60c087a7d,27.0
0x3b46bbb47a8108addd53542697e191ab76357be7,23.25
0x60cd274b68ae0989024e4f8f8e165aed789a7963,15.53
0x5267a70b1fcacd6f5cc5e96e2632f407f406e174,30.02
0x8719f35f35533c5cf52f14dd5a86dc2bcde2d7a8,32.63
0xf278ac8e97dd418a3ce13307fa1b44ff87a18f7c,27.84
0x25b5af8926297591b7ae8bbf88d087efb87fda40,28.25
0x92eeca199466877a56eea7b939b54717f6acbc2e,27.11
0x524cb61b52414a8413e6edec12891b11f71a711d,23.56
0x75369dd4b7be1721c8e849819afd036836a09f4c,31.17
0xc4afbc756803c4838efe8ea1dd8b626a510f6461,25.77
0x2efc198913bcf7205183e86f2eb353624864b2aa,17.83
0x36b38bacb083511a44b1e021eedc391c064ee1d6,16.79
0x3128e9f87924db85a952850e34f3d6694385ed8d,23.36
0x1e857bf05cec1bd14785a2b63751e143e882a451,21.16
0xa5ef8b9e1b9d17276a467672d16131181fc06635,24.19
0xebe8184a565382a99713cbf58ba756ad6af5421f,34.4
0xfe03add71470fd2d6391c3737a363e494f826d97,15.74
0x1924c794d6b6cab91a962690289afe85d0459716,37.12
0xac85ffcc6d549dabcf23d96f3cc3666d28822d73,26.27
0xba389309bcd938779a1a4d775cfcd5aa7dc408f3,24.42
0xb403370f42135d0d75e78c388f00596cf986e573,17.51
0x015a2c6080f554ad428632a89a0743fcf766eacc,18.56
0x1afa21bef41b61b198b1782d4f806e163c8f291d,40.45
0xc41e5e7804cf89755ece46f60346280a9a932239,21.9
0xdac7a91516112703448b5d1fbc8b679fce838e8a,35.35
0x2b7a3ebbfb3f708da4bbe05553185923544ebe9c,21.58
0x0383f13a5d161076e6cc1782a69fdc4e73317e3c,20.87
0x0691d0fac697d85f99e41057108f6b4f4c4091ec,22.31
0x726c9dd77ebe97d79c325bd8e2fc1c9a57eafdbe,16.79
0x935914ad4a126647af35378384d70c741892a5fa,37.01
0xecc85c2e526fefabbf50c7a1f00824be73c5da3a,15.12
0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,47.64
0xf43884c21bc074f0c2b30474fad727796dc8a0c4,37.23
0x3e68fca5b47bf0510debb0fa95d51c54b032a1c8,34.94
0xf4bb53efcfd49fe036fdcc8f46d981203ae3bab8,42.61
0x9d28abd25ce3b65e8f1ec9818a230aceb604bc82,21.92
0xa13131208502db4b4c028ceb2f364c85ad48e4d3,23.14
0xff5578022dd045a6a15a2ddb6bf848d7ec4b061c,21.48
0xde705471bb4414bfdabe09f52665914ed0e57254,26.82
0x0727ce8ba6e1360ebe2674489721922418d09826,19.81
